school_name,average_FOEI_2016/2017,2018_preliminary_RAM_total_funding,variance_to_2017_needs-based_allocation,"total_three_year_variance_(2016, 2017, 2018)"
Pittwater High School,46,"553,422","103,070","226,849"
Plattsburg Public School,139,"651,906","72,441","238,089"
Pleasa nt Heights Public Sc hool,26,"177,180","18,274","55,953"
Pleasa nt Hills Public School,126,"58,260","-5,088","8,657"
Plumpton High School,132,"1,795,379","-103,427","281,833"
Plumpton House School,196,"214,113","30,977","57,443"
Plumpton Public School,112,"756,199","61,711","225,485"
Plunkett Street Public School,116,"138,832","33,257","72,064"
Point Clare Public Sc hool,69,"328,892","14,003","94,297"
Pomona Public Sc hool,108,"53,299","-13,513","-5,861"
Port Hacking High School,64,"610,017","58,309","214,790"
Port Kembla Public School,107,"322,352","28,037","138,894"
Port Macquarie Public School,136,"949,590","115,127","435,369"
Portland CentralSchool,157,"518,889","-23,515","10,391"
Pottsville Beach Public School,78,"465,322","22,512","156,736"
Prairievale Public School,154,"1,371,429","1,988","284,458"
Prairiewood High School,122,"1,818,993","128,249","482,899"
Premer Public School,175,"61,968","-15,242","-3,071"
Prestons Public School,122,"1,14,43","200,432","423,050"
Pretty Beach Public School,30,"104,175","40,740","67,356"
Primbee Public School,122,"171,437","1,707","27,947"
Punchbowl Boys High School,156,"1,366,513","171,461","408,645"
Punchbowl Public School,131,"1,542,949","139,518","299,083"
Putland School,168,"242,487","46,549","80,903"
Putney Public School,15,"250,017","19,355","77,924"
Pymble Public School,3 or less,"335,477","33,940","144,966"
Quaama Public School,102,"98,796","24,549","58,188"
Quakers Hill East Public School,39,"572,962","46,177","129,213"
Quakers Hill High Sc hool,98,"1,026,856","-45,928","223,023"
Quakers Hill Public School,31,"973,047","128,875","316,723"
Quambone Public School,152,"92,425","-12,491","12,422"
Quandialla Public School,94,"56,677","19,127","17,379"
Queanbeyan East Public School,96,"258,208","21,191","99,769"
Queanbeyan High School,104,"759,104","104,649","273,253"
Queanbeyan Public School,82,"785,993","76,708","245,924"
Queanbeyan South Public School,124,"779,096","20,218","220,452"
Queanbeyan West Public School,85,"441,551","46,104","154,369"
Quirindi High School,146,"1,143,521","34,639","264,178"
Quirindi Public School,107,"467,462","24,659","119,256"
Raglan Public School,99,"278,947","20,093","130,498"
Railway Town Public School,157,"320,677","29,127","85,010"
Rainbow Street Public School,15,"380,821","-47,283","54,906"
Raleigh Public School,103,"59,474","12,294","17,578"
Ramsgate Public School,67,"624,595","60,978","157,190"
Rand Public School,84,"53,840","6,238","14,591"
Randwick Boys High School,63,"587,327","39,382","-2,206"
Randwick Girls High School,54,"886,225","49,291","188,558"
Randwick Public School,3 or less,"414,171","21,441","111,018"
Rankins Springs Public Sc hool,93,"70,985","9,386","18,885"
Rappville Public School,163,"61,385","1,164","-9,301"
Rathmines Public School,90,"262,571","57,256","119,362"
Raymond Terrace Public School,156,"1,109,044","104,220","255,691"
Red Hill Environmental Education Centre,-,"18,231","3,313","10,684"
Red Hill Public School,172,"1,021,531","51,348","140,239"
Red Range Public School,134,"136,728","-10,221","-10,493"
Redbank School,111,"63,834","17,475","42,171"
Redhead Public School,40,"164,493","12,681","48,407"
Regents Park Public School,132,"658,176","-38,969","98,403"
Regentville Public School,90,"545,338","56,271","215,055"
Repton Public School,89,"73,599","15,807","28,725"
Revesby Public School,113,"618,865","15,338","140,152"
Revesby South Public School,73,"277,786","-2,423","46,329"
Richmond High School,126,"1,065,718","50,444","280,426"
Richmond North Public School,111,"255,361","24,430","121,750"
Richmond Public School,85,"271,444","-8,555","70,215"
Ringrose Public School,92,527.199,"100,674","233,682"
Rivendell School,36,"57,889","6,380","24,868"
Riverbank Public School,16,"725,064","165,762","448,991"
Riverina Environmental Education Centre,-,"17,076","3,285","10,467"
Riverside Girls High School,39,"527,085","65,117","119,684"
Riverstone High School,149,"754,728","-17,432","168,605"
Riverstone Public School,136,"696,282","12,972","247,768"
Riverwood Public School,119,"321,024","63,712","106,159"
Robert Townson High School,120,"1,138,299","-11,364","254,589"
Robert Townson Public School,107,710.182,"82,458",335.122
Robertson Public School,76,"130,414","-19,799","1,037"
Rockdale Public School,70,"565,390","-19,794","-45,541"
Rockley Public School,118,"38,297","-6,166","10,644"
Rocky River Public School,87,"75,669","3,740","23,272"
Rollands Plains Upper Public Sc hool,109,"44,461","-1,107","9,506"
Rooty Hill High School,119,"1,523,117","4,833","379,181"
Rooty Hill Public School,112,"1,084,437","-18,554","139,753"
Ropes Crossing Public School,58,"702,938","217,154","435,731"
Rose Bay Public School,3 or less,"395,097",-226,"140,904"
Rose Bay Secondary College,16,"762,041","233,206","220,849"
Rosebank Public School,53,"34,869","2,233","6,909"
Rosehill Public School,42,"836,862","108,310","165,908"
Roselea Public School,19,"329,283","44,871","61,601"
Rosemeadow Public School,142,"1,487,981","109,595","502,751"
Roseville Public School,3 or less,"320,806","16,960","82,920"
Rosewood Public School,150,"69,350","-10,700","2,729"
Ross Hill Public School,133,"1,511,172","115,597","581,366"
Rossmore Public School,144,"224,826","-37,989","17,630"
Rous Public School,75,"63,115","-3,700","16,982"
Rouse Hill High School,66,"535,319","131,132","241,663"
Rouse Hill Public School,60,"473,496","56,569","163,257"
Rowena Public School,60,"69,185",-50,"14,457"
Rowland Hassall School,175,"158,297","10,403","31,247"
Royal Far West School,150,"149,760","70,201","158,926"
Royal National Park Environmental Education Centre,-,"16,047","2,629","9,101"
Royal North Shore Hospital School,100,"18,955",533,"11,259"
Royal Prince Alfred HospitalSchool,100,"12,436","2,563","8,004"
Rozelle Public School,3 or less,"334,811","35,793","131,634"
Rugby Public School,122,"23,372","-14,146","-4,982"
Rukenvale Public School,108,"29,429",-639,"8,737"
Rumbalara Environmental Education Centre,-,"16,371","2,953","9,749"
Ruse Public School,120,"598,469","1,813","173,697"
Russell lea Public School,3 or less,"112,965","12,094","38,653"
Russell Vale Public School,89,"209,988","35,042","87,266"
Rutherford High School,144,"2,363,590","107,609",520.226
Rutherford Public School,127,"1,478,947","243,843","645,976"
Rydalmere East Public School,85,"223,206",897,"33,150"
Rydalmere Public School,101,"213,353","42,751","113,726"
Ryde East Public School,16,"343,558","68,121","109,571"
Ryde Public School,28,"644,953","80,791","85,736"
Ryde Secondary College,36,"802,069","86,262","175,446"
Rye Park Public School,112,"27,759","2,569","6,060"
Rylstone Public School,96,"110,133","-7,666","29,067"
Sackville Street Public School,101,"735,475","61,845",274.413
Sadleir Public School,173,"1,193,336","60,935",157.552
Salt Ash Public School,126,"151,005","31,205","88,035"
Samuel Gilbert Public School,16,"432,698","71,048","174,374"
Samuel Terry Public School,109,"580,391","31,423","270,101"
Sanctuary Point Public School,139,"1,147.84",107.449,"432,589"
Sandon Public School,103,426.022,"29,335","117,368"
Sandy Beach Public School,104,"406,907","43,983","188,119"
Sandy Hollow Public School,147,"92,570","20,572","43,379"
Sans Souci Public School,51,"629,701","131,164","216,749"
Sarah Redfern High School,142,"1,409,049","66,774","239,745"
Sarah Redfern Public School,95,"688,347","11,961","267,448"
Savernake Public School,16,"40,302","10,448","26,608"
Sawtell Public School,77,"307,309","4,515","79,716"
Scarborough Public School,26,"50,790","12,816","25,736"
Schofields Public School,82,344.771,"38,999","137,108"
School of the Air,69,"168,305","39,379","81,164"
Scone High School,123,"636,667","55,031","201,923"
Scone Public School,112,"597,501","3,989","189,281"
Scotts Head Public Sc hool,98,"144,083","42,627","73,178"
Seaforth Public School,3 or less,"295,008","49,920","118,085"
Seaham Public School,95,"223,527","26,386","80,338"
Sefton High School,96,"776,367","53,673","311,899"
Sefton Infants School,104,"233,506",12.742,"67,541"
Seven Hills High School,137,"761,674","-14,892","127,707"
Seven Hills North Public School,57,"229,480","9,078","46,802"
Seven Hills Public School,111,"234,403","49,214","106,581"
Seven Hills West Public School,92,"602,799","-55,787","110,718"
Shalvey Public School,175,"1,121,903","-22,767","24,244"
Shell Cove Public School,65,"344,173","28,520","85,085"
Shelley Public School,92,"663,401","13,210","151,199"
Shellharbour Public School,78,"294,412","2,641","101,922"
Shepherds Park School,195,"232,822","45,482","78,768"
Sherwood Grange Public School,99,"356,770","42,962",124.708
Sherwood Ridge Public School,29,"562,774","89,030","226,602"
Shoal Bay Public School,100,"434,811",62.764,"200,617"
Shoalhaven Heads Public School,81,"184,027","5,490",54.279
Shoalhaven High School,147,"1,642,410","38,123","280,303"
Shortland Public School,147,"618,686","96,806","220,736"
Singleton Heights Public School,124,"908,714","124,823",388.246
Singleton High School,123,"1,770,034","107,353","587,977"
Singleton Public School,103,"519,989","51,485","257,629"
Sir Eric Woodward Memorial School,92,"76,566","8,737","38,360"
Sir Joseph Banks High School,150,"1,453,462",-112.449,"149,007"
Smithfie ld Public School,128,"1,334,727","288,231","556,601"
Smithfield West Public School,155,"935,618","170,907","271,897"
Smiths Hill High School,5,"298,819","39,517","110,437"
Smithtown Public School,155,"195,372",-21.409,-5.402
Sofala Public School,216,"64,807","15,791","24,682"
Soldiers Point Public School,78,"234,368","2,087","52,849"
Somersby Public School,78,"72,660","12,275","27,277"
Somerton Public School,138,"56,401","-9,777","-22,332"
South Coogee Public School,21,"340,335","-15,653","20,720"
South Grafton High School,143,"1,377,023",-79.288,"9,000"
South Grafton Public School,139,"1,279.06","112,899","443,207"
South Sydney High School,94,"608,015","97,144",82.319
South Wagga Public School,41,"214,443","50,501","88,864"
South West Rocks Public School,95,"390,727",23.01,"134,792"
Southern Cross Public School,100,"388,749","-1,317,603","-708,308"
Southern Cross School of Distance Education,155,"1,633,448","1,633,448","1,633,448"
Speers Point Public School,124,"178,112","2,794","41,187"
Spring Farm Public School,92,"258,079","140,551","181,744"
Spring Hill Public School,120,"61,184","3,584","23,173"
Spring Ridge Public School,73,"55,337","5,606","8,734"
Spring Terrace Public School,121,"59,527","18,769","38,059"
Springdale Heights Public School,154,422.26,"-11,528","67,022"
Springwood High School,60,"431,837","43,750",113.223
Springwood Public School,50,"271,453","50,118","115,121"
St Andrews Public School,97,"873,829","83,812",287.657
St Clair High School,128,"1,197.98","-44,435","208,835"
St Clair Public School,121,"456,813","-41,028",97.094
St George Girls High School,24,"357,103","50,487","141,985"
St George Hospital School,100,"13,514","1,562","8,491"
St George School,69,"47,759","5,520","24,474"
St Georges Basin Public School,117,"577,565","90,277",282.186
St Helens Park Public School,116,587.606,"29,392","259,946"
St Ives High School,16,"607,099",82.13,"139,634"
St Ives North Public School,3 or less,"727,017","113,722","197,153"
St Ives Park Public School,3 or less,"129,744","21,679","34,946"
St Ives Public School,3 or less,"371,345","62,063","150,778"
St Johns Park High Sc hool,145,"2,152,028","34,443","324,977"
St Johns Park Public School,100,"1,093,865","68,236","364,970"
St Marys North Public School,160,"1,235,799","-36,668","40,404"
St Marys Public School,133,"642,502","80,971","213,326"
St Marys Senior High School,63,"669,170","59,291","165,491"
St Marys South Public School,136,"598,384","38,564","190,110"
St Peters Public Sc hool,38,"87,660","13,561","33,607"
Stanford Merthyr Infants School,138,"141,930","-16,752","15,120"
Stanmore Public School,3 or less,"308,751","28,885","95,433"
Stanwell Park Public School,12,"77,601","21,415","36,221"
Stewart House School,150,"218,283","69,733","175,946"
Stockinbingal Public School,148,"70,500","3,952","24,202"
Stockton Public School,88,"259,547","20,113","87,533"
Stokers Siding Public School,118,"68,761","3,543","3,5OO"
Stratford Public School,201,"60,903","-7,591","5,338"
Stratheden Public School,142,"65,921","6,748","30,316"
Strathfield Girls High School,54,"1,152,546","65,479","181,243"
Strathfield North Public School,20,"571,311","21,824","53,980"
Strathfield South High School,151,"1,446,594","16,224","389,989"
Strathfield South Public School,24,"944,392","93,651","80,044"
Stroud Public School,133,"160,526","24,705","69,680"
Stroud Road Public School,111,"33,475","-5,901","7,760"
Stuart Town Public School,139,"42,175","10,261","23,405"
Stuarts Point Public School,158,"184,263","-3,733","58,599"
Sturt Public School,91,"371,337","17,777","108,643"
Summer Hill Public School,3 or less,"475,158","58,268","152,086"
Sunshine Bay Public School,132,"605,428","15,623","92,968"
Surveyors Creek Public School,83,"399,761","42,998","156,532"
Sussex Inlet Public School,115,"320,609","15,171","132,657"
Sutherland Hospital School,100,"12,462","1,541","7,734"
Sutherland North Public Sc hool,61,"202,784","7,565","74,080"
Sutherland Public School,35,"310,708","50,392","121,024"
Sutton Public School,35,"175,814","43,347","78,559"
Swansea High School,109,"675,545","-15,341","206,572"
Swansea Public School,131,"400,337","-16,089","132,954"
Sydney Boys High School,6,"480,616","98,665","198,875"
Sydney Childrens Hospital School,100,"51,097","7,599","34,234"
Sydney Distance Education High School,90,"512,621","29,235","118,216"
Sydney Distance Education Primary School,30,"106,945","-20,857","13,518"
Sydney Girls High Sc hool,11,"424,167","76,067","184,779"
Sydney Intensive English High School,91,"245,593","55,575","99,071"
Sydney Secondary College Balmain Campus,26,"617,630","82,109","175,508"
Sydney Secondary College Blackwattle Bay Campus,28,"532,447","152,286","214,620"
Sydney Secondary College leichhardt Campus,25,"548,051","117,970","203,900"
Sydney Technical High School,30,"416,571","98,576","203,494"
Sylvania Heights Public Sc hool,48,"505,980","43,149","106,922"
Sylvania High School,71,"574,463","127,510","213,329"
Sylvania Public School,85,"124,900","12,972","30,749"
Table Top Public School,67,"59,906","3,498","15,615"
Tabulam Public Sc hool,209,"386,589","50,162","41,400"
Tacking Point Public School,59,"497,120","85,413","192,581"
Tacoma Public School,124,"304,753","27,824","134,512"
Tahmoor Public Sc hool,124,"688,381","-4,237","174,160"
Talbingo Public School,102,"36,817","5,424","16,495"
Tallimba Public School,127,"66,672","8,482","20,592"
Tallong Public School,120,"96,961","11,837","55,200"
Tallowood School,81,"94,855","13,010","44,456"
Tambar Springs Public School,229,"42,942","-16,033","-12,378"
Tamworth High School,132,"1,602,498","200,085","406,594"
Tamworth Public School,77,"697,682","125,657","300,269"
Tamworth South Public School,137,"1,611,354","140,621","631,831"
Tamworth West Public School,135,"878,808","84,348","328,187"
Tangara School,144,"57,692","10,006","31,523"
Tanilba Bay Public School,125,"916,004","116,107","390,930"
Tanja Public School,53,"32,324",302,"1,480"
Tarago Public School,107,"61,794","8,837","12,708"
Taralga Public School,110,"56,398","11,424","20,110"
Tarcutta Public School,147,"59,745","15,319","20,572"
Taree High School,123,"1,329,756","163,809","520,905"
Taree Public School,190,"415,539","43,842","109,758"
Taree West Public School,131,"956,445","60,833","346,142"
Taren Point Public School,78,"90,749","1,919","23,466"
Tarrawanna Public School,139,"267,595","54,786","106,416"
Tarro Public Sc hool,143,"333,336","71,933","142,811"
Tathra Public Sc hool,65,"203,363","21,970","60,361"
Taverners Hill Infants School,3 or less,"42,071",-290,"14,775"
Tea Gardens Public School,131,"377,584","9,449","104,353"
Telarah Public School,159,"1,458,767","35,829","302,631"
Telegraph Point Public School,93,"109,020","-3,371","38,441"
Telopea Public School,151,"160,162","-5,400","33,471"
Temora High School,114,"501,037","3,332","119,557"
Temora Public School,104,"360,931","14,634","126,257"
Temora West Public School,124,"279,617","59,933","156,179"
Tempe High Sc hool,57,"689,993","63,544","121,076"
Tempe Public School,38,"289,229","14,485","56,479"
Tenambit Public School,143,"824,304","100,638","234,356"
Tenterfield High School,117,"533,167","55,562","127,289"
Teralba Public Sc hool,138,"154,553","14,218","46,461"
Terara Public School,90,"78,036","13,115","35,182"
Terranora Public School,73,"261,621","25,940","104,838"
Terrey Hills Public School,31,"139,850","20,706","56,288"
Terrigal High School,67,"567,139","60,604","126,895"
Terrigal Public School,59,"464,959","28,238","170,922"
Teven-Tintenbar Public School,63,"116,389","31,309","60,998"
Thalgarrah Environmental Education Centre,-,"11,496","2,311","7,480"
Tharawal Public School,46,"225,097","31,724","81,092"
Tharbogang Public School,89,"67,349","-7,547","13,491"
The Beach School,96,"39,558","9,609","22,813"
The Bidgee School,177,"93,609","22,255","42,645"
The Channon Public School,34,"36,222","1,356","6,812"
The Childrens Hospital School,100,"76,490","3,145","46,935"
The Crescent School,143,"124,349","11,626","62,578"
The Entrance Public School,150,"1,367.42","44,270","352,707"
The Forest High School,65,"579,084",49.525,"176,411"
The Grange Public School,117,"453,997","-48,818","29,542"
The Henry lawson High School,104,"295,807","-12,718","48,912"
The Hills School,110,156.966,"18,106","71,282"
The Hills Sports High School,116,"1,187,028","106,058","389,738"
The Jannali High School,77,"482,368","35,766","135,545"
The Junction Public School,19,"320,215","37,512",106.948
The Meadows Public School,133,561.907,"42,839",219.177
The Oaks Public Sc hool,104,"329,480","-1,735",115.334
The Pocket Public School,81,"66,981","17,336","34,099"
The Ponds High School,46,571.281,"281,274","408,349"
The Ponds School,109,"151,912","-1,309","73,273"
The Risk Public School,91,"56,452","18,713",28.299
The Rivers Secondary College. Kadina High Campus,109,666.636,"47,672","233,187"
The Rivers Secondary College. lismore High Campus,131,683.972,"-52,289","66,693"
The Rivers Secondary College. Richmond River High Campus,96,"824,858","110,249","372,257"
The Rock Central Sc hool,118,272.832,"23,108","121,232"
The Sir Henry Parkes Memorial Public School,127,"577,420","20,782",169.418
Thirlmere Public School,112,"430,477","-9,350","128,339"
Thirroul Public Sc hool,34,"280,265","37,022","106,869"
Thomas Acres Public School,132,"950,256","34,035","217,465"
Thomas Reddall High Sc hool,137,"1,187,732","18,106","156,834"
Thornleigh West Public School,7,"311,005","13,954","82,366"
Thornton Public School,113,801.638,"182,915","436,400"
Thurgoona Public School,85,"372,470","40,242","140,681"
Tibooburra Outback Public Sc hool,76,"37,993","-2,759","10,607"
Tighes Hill Public School,42,"203,055","21,364","80,374"
Timbumburi Public School,86,"169,146","41,521","85,835"
Tingha Public School,200,"374,885",-55.648,"-10,874"
Tinonee Public School,106,"213,989","32,972",83.052
Tintinhull Public School,107,"135,640","33,179","82,929"
Tirranna Public School,81,"24,653","3,314","6,317"
Tocumwal Public School,100,183.011,34.65,"93,394"
Tomaree High Sc hool,100,"1,244.12",152.964,"529,483"
Tomaree Public School,92,"333,263","-13,738","91,966"
Tomerong Public School,105,"181,851","53,467","110,261"
Tooleybuc Central School,112,"254,463","15,782","54,344"
Toome lah Public School,237,"338,052",-25.413,"29,025"
Toongabbie East Public School,154,"226,023","20,406","103,687"
Toongabbie Public School,62,"546,278","92,907",148.491
Toongabbie West Public School,87,"315,786",22.234,"95,738"
Tooraweenah Public School,90,"37,255","-3,686","3,660"
Toormina High School,120,"1,150,923","8,439","101,453"
Toormina Public School,124,"493,613","-3,791","67,975"
Toronto High School,122,"1,370,602",19.965,"436,082"
Toronto Public School,149,"424,726","2,644","69,494"
Tottenham CentralSchool,82,"149,447",768,"11,287"
Toukley Public School,146,"1,274,051","160,276","509,594"
Towamba Public School,128,"45,739","-19,341","-19,248"
Tower Street Public School,97,"229,561","-9,336","40,454"
Towradgi Public School,86,"155,779","27,837","58,274"
Trangie Central Sc hool,146,"845,564","18,249","139,631"
Tregeagle  Public School,70,"81,973",93,"15,128"
Tregear Public School,185,"1,358,362","162,660","244,966"
Trundle CentralSchool,145,"344,525","36,119",133.245
Trunkey Public School,91,"29,153",399,"4,342"
Truscott Street Public School,11,205.763,"8,008","80,999"
Tucabia Public School,159,112.636,"-5,694",37.946
Tuggerah lakes Secondary College Berkeley Vale Campus,113,"872,246","21,665","358,534"
Tuggerah lakes Secondary College The Entrance Campus,115,"841,970","53,862","304,970"
Tuggerah lakes Secondary College Tumbi Umbi Campus,118,"1,517,851","45,668","438,820"
Tuggerah Public School,94,"433,309","38,086","180,892"
Tuggerawong Public School,126,"388,082","54,048","196,048"
Tullamore Central School,88,147.431,"8,427","16,934"
Tullibigeal Central School,106,"108,714","-7,068","11,954"
Tullimbar Public Sc hool,96,"280,618","15,296","124,021"
Tulloona Public School,64,"39,293","4,701","16,964"
Tumbarumba High School,121,"394,787",53.208,"99,869"
Tumbarumba Public School,102,"277,358",-2.553,"55,518"
Tumbulgum Public School,121,"45,321","5,053","18,286"
Tumut High School,113,752.855,"20,927","199,404"
Tumut Public School,96,329.238,"11,782","125,456"
Tuncurry Public School,122,"612,239","79,008","226,362"
Tuntable Creek Public Sc hool,142,"40,444","6,602","21,393"
Turramurra High School,14,727.775,"22,588","88,913"
Turramurra North Public School,3 or less,"151,309","-4,969","64,061"
Turramurra Public School,3 or less,332.364,77.932,"183,997"
Turvey Park Public School,108,"593,783","169,907","314,296"
Tweed Heads Public School,116,"431,385","69,678","194,018"
Tweed Heads South Public School,138,"587,353","-69,528","36,131"
Tweed River High School,113,"950,087","2,748",228.091
Tyalgum Public School,146,"117,712",22.175,"40,441"
Tyalla Public School,155,926.831,"30,429","234,622"
Uki Public School,114,"193,554","51,437","113,748"
Ulan Public School,169,"63,078","16,351","30,762"
Ulladulla High School,98,"1,109,077","39,409","402,318"
Ulladulla Public School,110,"813,388","108,700","420,727"
Ulmarra Public School,138,"147,280",28.313,"38,957"
Ulong Public School,175,"90,645","8,426","19,538"
Ultimo Public School,45,"363,375","36,801",22.491
Umina Beach Public School,95,"652,183",55.717,"287,930"
Unanderra Public School,93,426.594,"31,769","126,989"
Undercliffe Public School,46,"210,795","10,284","56,863"
Ungarie Central School,127,"190,854","-3,575","60,841"
Upper Coopers Creek Public School,69,"21,401","2,873","3,574"
Upper lansdowne Public School,118,"59,145","13,782","17,534"
Uralla Central School,128,"635,786",-8.895,"148,793"
Urana Public School,147,57.767,"-25,727","-11,959"
Uranquinty Public School,88,"42,459","10,361","14,043"
Urbenville Public School,163,"86,668","19,670","28,082"
Urunga Public School,114,"293,615","18,177","111,219"
Vacy Public Sc hool,90,"108,400",-448,22.964
Valentine Public School,43,"289,981",45.22,"121,940"
Valley View Public School,98,"367,554","-19,749","98,333"
Vardys Road Public School,85,"468,062","85,623","181,888"
Vaucluse Public Sc hool,3 or less,"222,976","44,315","99,285"
Verona School,186,"113,339","13,614","28,531"
Victoria Avenue Public School,18,"349,076","80,972",176.122
Villawood East Public School,180,"1,005,150","-2,396","38,361"
Villawood North Public School,159,"837,348","24,218","190,833"
Vincentia High School,128,"1,757,483","154,508","534,096"
Vincentia Public School,80,"271,303","-11,307","63,627"
Vineyard Public School,155,"69,885",-11.981,"-4,996"
WadaIba Community School,115,"1,772,453","150,345","668,700"
Wade High School,106,"962,379","21,993","257,069"
Wagga Wagga High Sc hool,93,"1,331,721","286,060","457,326"
Wagga Wagga Public School,63,"351,404","65,415","126,029"
Wahroonga Public School,3 or less,"316,947","13,330","105,201"
Wairoa School,80,"72,527","2,490",45.28
Waitara Public School,3 or less,"978,241","251,274","394,919"
Wakefield School,200,"100,298","-4,338","15,964"
Wakehurst Public School,27,"174,334","8,493","31,216"
Wakool Burraboi Public School,150,"49,955",654,"8,319"
Walbundrie Public Sc hool,67,"44,808","9,765","27,450"
Walcha CentralSchool,112,"524,614","18,325",97.467
Walgett Community College - High School,196,"807,924","34,408","36,032"
Walgett Community College - Primary School,191,"1,212,071","141,906","351,595"
Walhallow Public Sc hool,196,"131,970","27,911","94,202"
Walla Walla Public School,97,"66,868","11,086","22,718"
Wallabadah Public Sc hool,137,"82,833","12,255","45,054"
Wallacia Public School,120,"107,597",23.648,"64,996"
Wallendbeen Public School,113,"31,449",877,"7,952"
Wallerawang Public School,125,"534,265","67,258","177,631"
Wallsend Public Sc hool,136,503.281,"-96,636","68,607"
Wallsend South Public School,48,"338,428","18,579","114,066"
Walters Road Public School,104,"931,471","169,797","376,232"
Wambangalang Environmental Education Centre,-,"17,082","3,286","10,469"
Wamberal Public School,62,"438,232","65,336","184,460"
Wamoon Public School,199,"120,010","-5,632","21,306"
Wanaaring Public School,157,"82,350",-3.546,22.392
Wangee Park School,102,"52,143","-12,736","33,684"
WangiWangi Public School,116,"134,950","9,621","48,082"
Waniora Public Sc hool,51,"232,805","30,151",97.623
Waratah Public School,106,"510,594","1,044","216,110"
Waratah West Public School,161,"276,147","13,412","79,571"
Wardell Public Sc hool,144,"106,842","-1,679","45,230"
Warialda High School,134,"467,706","-14,683","78,890"
Warialda Public School,115,"351,292","72,881","162,542"
Warilla High School,117,"1,410,368","95,284","540,764"
Warilla North Public School,198,"589,717","35,809","138,631"
Warilla Public School,152,"591,330",75.501,"162,284"
Warners Bay High School,76,"747,928","68,204","232,710"
Warners Bay Public Sc hool,81,"348,358","36,755","144,503"
Warnervale Public School,118,"647,634","82,402","302,581"
Warragamba Public School,116,420.282,29.006,"167,746"
Warrawee Public Sc hool,3 or less,"381,172","93,400","154,319"
Warrawong High School,168,"1,795,393","-11,038","23,936"
Warrawong Public School,173,"898,183","59,433","104,212"
Warren Central School,150,"690,445","-128,627","51,229"
Warrimoo Public School,39,126.169,"-6,301","20,229"
Warrumbungle National Park Environmental Education Centre,-,"10,060","2,060","6,267"
Warwick Farm Public School,154,"648,957","39,821","133,008"
Waterfall Public School,111,"55,630","13,128","30,430"
Wattawa Heights Public School,146,"739,602","34,393","119,144"
Wattle Flat Public School,151,"67,039","4,477","35,144"
Wattle Grove Public School,75,"504,902","65,441","155,986"
Wauchope High School,133,"1,169,589","57,569","270,917"
Wauchope Public School,124,"1,255,365","228,113","561,916"
Waverley Public School,5,"259,215","51,624",122.674
Wee Jasper Public School,107,"33,596","-2,090","2,427"
Wee Waa High School,162,"605,850","8,102","86,331"
Wee Waa Public School,158,"529,646","5,008","1,226"
Weethalle Public School,121,70.262,"9,950",22.035
Weilmoringle Public School,205,"163,400","31,820","90,516"
Wellington High School,142,"1,010,114","-95,668","13,382"
Wellington Public School,140,"1,930,660","284,913","614,384"
Wentworth Falls Public School,51,"218,056","13,981","64,589"
Wentworth Point Public School,-,"92,078","92,078","92,078"
Wentworth Public School,152,"555,104","96,139",235.196
Wentworthville Public School,37,"774,016","293,046","331,031"
Werrington County Public School,122,"637,947","103,320","303,586"
Werrington Public School,134,"745,858","-15,562","184,075"
Werris Creek Public School,143,"369,736","85,669","171,495"
West Pennant Hills Public School,9,"419,907","62,269","204,349"
West Pymble Public School,3 or less,"201,249","-34,315",26.378
West Ryde Public School,7,"759,563","170,589",252.425
West Wallsend High School,136,"1,117,201",87.265,"291,930"
West Wallsend Public School,136,"418,031","2,559","85,357"
West Wyalong High School,108,"510,027","90,745","194,954"
West Wyalong Public School,103,"441,051",-451,"105,164"
Westdale Public School,136,"1,171,161","15,154","273,894"
Westfields Sports High School,112,"1,907,106","-45,976","564,730"
Westlawn Public School,111,"628,221","103,198","319,470"
Westmead Public School,3 or less,"1,185,610","156,783","288,874"
Weston Public School,169,"621,003","34,831","96,608"
Westport Public School,148,"865,537","68,992","254,275"
Wetlands Environmental Education Centre,-,"19,416","3,763","12,785"
Wewak Street School,169,"187,112","32,733","62,621"
Whalan Public School,172,"1,234,261","-53,750","152,477"
Wheeler Heights Public School,41,"242,889","22,617","81,609"
Whian Whian Public Sc hool,101,"26,057","2,276","5,615"
White Cliffs Public School,97,"63,025","-1,363","16,865"
Whitebridge High School,91,"775,878","65,003","232,969"
Whitton-Murrami Public School,108,"76,690","-14,814","4,087"
Wiangaree Public School,129,"50,823","2,446","27,156"
Widemere Public School,78,"219,980","20,351","75,585"
Wideview Public School,33,"196,871","30,921","78,588"
Wilberforce Public School,94,"303,216","38,873","123,646"
Wilcannia CentralSchool,205,"753,033","-95,942","-5,625"
Wiley Park Girls High School,150,"1,373,871","87,295","259,774"
Wiley Park Public School,122,"1,374,237","124,883","309,054"
Wilkins Public School,17,"384,344","5,001","73,366"
Willans HillSchool,139,"137,477","24,793","66,677"
Willawarrin Public School,161,"188,092","8,304","45,704"
William Bayldon Public School,167,"732,101","124,834","280,338"
William Dean Public School,112,"442,467","-5,694","48,112"
William Rose School,132,"190,260","54,240","109,735"
William Stimson Public School,109,"813,791","83,468","266,659"
Willmot Public School,183,"583,429","17,053","60,796"
Willoughby Girls High School,11,"758,736","104,820","241,844"
Willoughby Public School,3 or less,"528,181","82,593","185,177"
Willow Tree Public School,127,"102,328","34,406","51,780"
Willyama High School,124,"954,088","56,640","182,869"
